ID,English Word,Tachelhit Expression
1856,direct towards,sker
1857,directly,nnican
1858,director,"1.The directors of a company are its senir managers. Ixf, ixfawen"
1859,directory,adlis n tifawin
1860,dirt,"1.Dirt is any substance such as dust, mud, or stains. Irkan"
1861,dirtiness,irkan
1862,dirty water,aman ṛiẓnin
1863,dis grass,"ummad, ummaden"
1864,disable,skucem
1865,disabled,akucam
1866,disabled person,"akucam, ikucamen"
1867,disability,"taɛḍuṛt, tiɛḍuṛin֎֎ ammuɛḍeṛ, immuɛḍeṛen֎֎ akkuɛmu, ikkuɛmuten֎֎ taggammayt, tiggammayin֎֎ tiggimmit, tiggimitin֎֎ tannzayt, tinnzayin֎֎ afraɣ, ifraɣen֎֎ tawwuṛḍi, tiwwuṛḍiwin֎֎ akucem, ikucemen֎֎ disabled (n. & adj.): amɛḍuṛ, imɛḍuṛen̸ imɛḍaṛ"
1868,disadvantage,"tihreci, tiherciwin"
1869,disagree,"1.If you disagree with someone, you have a different opinion to them about something. mmzri"
1870,disappear,"1.If someone or something disappears, they go where they cannot be seen or found. Laḥ"
1871,disappoint,eg tacaga/ankkid/taguḍi/atres/aggas/tamaḍ unt
1872,disappointment,"ankkid, inkkiden"
1873,disapprove,ini uhu
1874,disarm,kkes aburi/ssleb/uzzal
1875,disarmament,"tawkkast, tiwkkasin n ssleb/uzzal"
1876,disaster,1.A very bad accident such as an earthquake or a plane crach. Tagat
1877,disc jockey,"adisk juki, idisken jukiyen"
1878,discard,ssuss
1879,discharge,ṛẓem
1880,disclaim,eg d tekerkas/ixʷmmiren
1881,discolose,sffeɣ-d
1882,disco,"adisku, idiskuten"
1883,discomfort,"annukmu, innukmuten"
1884,disconcert,awi ixf/agayyu
1885,discount,"acḥu, icḥuten ɣ watig֎֎ tawkkast, tiwkkasin ɣ watig֎֎ tabbayt, tabbayin ɣ watig֎֎"
1886,discourage,"1.If something or someone discourages you, they cause you to lose your enthusiasm for something. Ffin/bbin ifadden"
1887,discourse,"awal, iwaliwen"
1888,discover,af (amd yufa yan usafar amaynu)֎֎ ssaggʷ-d
1889,discovery,"tanyaft, tinyafin"
1890,discreet,itteskkaln
1891,discriminate,1.To discriminate between things means to recongnize the differences between them. Ẓli
1892,discuss,mḍakaṛ f
1893,discussion,"amḍikiṛ, imḍikiṛen֎֎ awal, iwaliwen֎֎ amsiwel, imsiwalen֎֎ asnfel/asnnfeka n wawal֎֎ asnnfeka, issnfekaten֎֎ asnfel, isnfelen֎֎ assnḍeṛ, issnḍeṛen n iwaliwen֎֎ tuggera, tuggeriwin n iwaliwen֎֎ amsiqqir, imsiqqiren n iwaliwen/tuguriwin֎֎ amzaɣ, imzaɣen֎֎ anzaɣ, inzaɣen֎֎ amyannan, imyannanen֎֎ amsiwal, imsiwalen֎֎ amriri, imriran֎֎ aḥukku/ajukku n wawal֎֎ amjiggiṛ, imjiggiṛen֎֎ taẓit֎֎ taqqurt...֎֎ 70"
1894,disease,"tamaḍunt, timuḍan"
1895,disenchant,eg tacaga/ankkid/taguḍi/atres/aggas/tamaḍ unt
1896,disenchantement,"ankkid, inkkiden"
1897,disgrace,snnkumu
1898,dish,"1.A shallow container for cooking or eating from. Afcku, ifckan"
1899,dish drainer,"tastayt, tistayin n ifckan/iftran"
1900,dishonest,bu-ddɣʷel
1901,dishonesty,"ddgʷel, id ddɣʷel"
1902,dislocate,mmulleẓ
1903,dismiss,"1.If you dismiss something, you decide that it is not important enough for you to think about. Brru"
1904,disobey,agʷi
1905,disobedient,bu-tebaslit
1906,disorder,"1.Disorder is a state of being untidy or badly organized. Ammrwi, immrwiyen (amd inker ummrwi ɣ temazirt)֎֎ amrway, irmrwayen"
1907,disparage,jrrem
1908,dispersal,"akʷfas, ikʷfasen"
1909,disperse,saka/sak
1910,displace,"1.Take over the place, position, or role of (someone or something). Ssanef"
1911,dispose,luḥ-nn
1912,disqualify,kkes
1913,dissatisfaction,"anuger, inugeren"
1914,disseminate,zluzzu
1915,dissidence,"taɣwwaɣt, tiɣwwaɣt"
1916,dissident,"aɣwwaɣ, iɣwwaɣen"
1917,dissolve,fsi/bsi
1918,dissimulation,"aḥbbu, iḥbbuten"
1919,distaff,"tasnayt, tisnayin"
1920,distance,"1.The distance between two points is the amount of space between them. Amyagal, imyagalen"
1921,distant,1.Far away in space or time. Aggugn
1922,distemper,jiyyer
1923,distil,sti
1924,distinct,"1.If one thing is distinct from another, there is an important difference between them. Igan naḥya"
1925,distinctive,ittumzalaln
1926,distinction,"Tamɣuri, timɣuriwin"
1927,distinguish,"1.If you can distinguish one thing from another, you can see or understand the difference between them. Mzlal"
1928,distort,"1.If you distort a statement or an argument, you change it so that is untrue. Nfel"
1929,distorted,ifreøn
1930,distract,awi/ecc ixf
1931,distracted,ishan
1932,distribute,"1.If you distribute things, you hand them out or deliver them. Fek"
1933,district,"tasga, tisggʷin"
1934,disturb,"1.If you disturb someone, you interrupt what they are doing or interrupt their peace. Ssiḥel"
1935,disturbance,"1.Disturbance is the state of being disturbed. Azziwiz, izziwizen"
1936,ditch,"amnɣuz, imnɣaz"
1937,divert,sli
1938,divide,"1.When you divide something or when it divides, it separates it into two or more parts. Bḍu"
1939,diving,"angeḍ, ingeḍen"
1940,divining rod,"asɣar, isɣaren n maf- aman"
1941,division,"38 1.Division is the act of separating something into two or more parts. Tibḍit, tibḍitin/tibḍiwin"
1942,divulge,ḍi-d
1943,dizziness,timlillay
1944,dizzy,imlallin
1945,DJ,"adisk juki, idisken jukiyen"
1946,do again,ales
1947,do up,"1.If you do something up, you fasten it. Qqen"
1948,docking,"taɣuni, tiɣuniwin"
1949,doctor,"1.A person who is qualified in medicine and treats people who are ill. Adukṭur, idukṭuren"
1950,documentary,"anfulan, infulanen"
1951,dodge,anef
1952,dog,"aydi, iḍan"
1953,dog rose,"tiɣfert, tiɣferin"
1954,doggie,haw-haw
1955,doll,"tislit, tislatin"
1956,dollar,"ddular, id ddular"
1957,dolphin,"azyam, izyamen"
1958,dome,"aḍṛbuẓ, iḍṛbaẓ"
1959,domesticate,ssgʷred
1960,domesticated,igʷrden
1961,don,les
1962,donate,"1.If you donate something to a charity, you give it to them. Fek/kef/ef"
1963,donkey,"1.A domesticated hoofed mammal of the horse family with long ears and a braying call. Aɣʷyul, iɣʷyal֎֎ asnus, isnas֎֎ cacca, id cacca (chld. lge.)֎֎ bi-imzgan, id bi-imzgan (iron.)֎֎ bi-iṭṛmaḥ, id bi-iṭṛmaḥ (iron.)֎֎ bi-iṭṛmumrn, id bi- iṭṛmumen(iron.)֎֎ 2.A young donkey. Asnus, isnas"
1964,donor,"anfeka, infekaten"
1965,doomed,ur ifekan amya/walu/yat
1966,door,"aggur, iggura"
1967,doorman,"atwwab, itwwaben"
1968,doorway,"imi, imawwen n waggur"
1969,doppelganger,"imiddzi, imiddziyen"
1970,dose,"imikk, id imikk"
1971,dot,"takukkert, tikukkar"
1972,dotted,akṛkaḍ
1973,double-edged,bu-usɣres
1974,doubtful,ilan turda
1975,dove,"atbir, itbiren"
1976,dowel,"asarf, isarfen"
1977,dower,"amrwas, imrwasen"
1978,down-grade,ṛeẓ atig
1979,downhill,"tagsart, tigsarin"
1980,download,all-d
1981,downpour,"tijjijt, tijjijin n unẓaṛ"
1982,downriver,s izddar n wasif
1983,downstream,s izddar n wasif
1984,dowry,"amrwas, imrwasen"
1985,doyen,"amøar, imøaren"
1986,doze,ssdiw-nn imikk iḍeṣ/iṭṭeṣ
1987,dozen,sin d mraw
1988,dozing,iṭṭeṣ/iḍeṣ
1989,dragon,"awṣaṭ, iwṣaṭen"
1990,dragonfly,"tawla, tiwliwin"
1991,drama,"39 1.A serious play for the theatre, television, or radio. Tamzgunt, timzgunin"
1992,dramatic,issuhamn
1993,drastic,iqqṣḥan
1994,draught,"90 1.A current of cold air. Aṣmmiḍ, iṣmeḍan"
1995,drawback,"tihreci, tiherciwin"
1996,drawer,"ackik, ickiken"
1997,drawing,"akʷlu, ikʷlan"
1998,drawing of lots,takccuḍt
1999,dreg,"astay, istayen"
2000,drench,aḍeṛ
2001,dress up,ḥiyyel
2002,dress up as,les zund
2003,dress-making,tigni
2004,dressage,"annan, annanen"
2005,dressmaker,"agnnay, ignnayen"
2006,dried fish,"taɣrrust, tiɣrrusin"
2007,dried meat,"taɣart, taɣarin"
2008,drift,"1.When something drifts, it is carried along by the wind or by water. Gli"
2009,drill bit,"azlu, izla/izlaten"
2010,drinkable,n tissi
2011,drinking trough,"uggug, uggugen"
2012,drinking water,aman n tissi
2013,drive in,ddez
2014,driver,"imgli, imgliyen"
2015,dromedary,"aṛam, iṛaman"
2016,drool,aladda
2017,drop behind,ata
2018,drop by,sli
2019,drop off,gʷin
2020,drop out,fel
2021,dropping,"axʷsas, ixʷsisen"
2022,drought,"azirez, izirezen"
2023,drown,lɣi
2024,drowning,"udum, udumen"
2025,drowsiness,iṭṭeṣ/iḍeṣ
2026,drug dealer,"abznaz*, ibznazen"
2027,drugstore,"tasasfert, tisisfar"
2028,drudge,dmer
2029,drum,"ganga, id ganga"
2030,drummer,"bu-ganga, id bu-ganga"
2031,dry out,qqar
2032,dry patch,"tafuri, tifuriwin"
2033,dry up,qqar
2034,dry-clean,ssired/slil/ggʷu s waman ikimiyen
2035,dryness,"taɣuri, tiɣuriwin"
2036,dual,"tayyuga, tiyygiwin"
2037,dubious,n ma ɣ illa kra
2038,duck pond,"tamda/tanda, timdiwin/tindiwin"
2039,duct,"ajɣbub, ijɣbuben"
2040,due,"1.If something is due at a particular time, it is expected to happen or arrive at that time. Rad yack"
2041,dug,"tiẓi, tiẓiwin"
2042,dull,1.Not interesting. Issṛmayn
2043,dumb,"1.Unable to speak. Agnaw, ignawen"
2044,dumfounded,ifteln
2045,dummy,"1.A rubber or plastic object which a baby sucks on. Tabssumt, tibssumin"
2046,dune,"aduz, idazzen n umlal"
2047,dung,"amazir/amzzur, imzeran"
2048,dung beetle,"berrεziz, id berrεziz"
2049,dung hill,"amdduz, imdduzen n umazir"
2050,dungeon,"tasraft, tisrefin"
2051,during,ɣ
2052,dusk,"timdllest, timdllesin"
2053,dustbin,"aṭṭarru, iṭṭurra n warras֎֎"
2054,duster,"aýεuḍ, iýεaḍen֎֎ acwiḥ , icwiḥ en֎֎ acelliq, icelliqen֎֎ acṛwiḍ, icṛwiḍen֎֎ ajɣaɣ, ijɣaɣen֎֎ adɣar, idɣaren֎֎ taxzuzt, tixzuzin֎֎ iktel, iktelan֎֎ acṛmiḍ, icṛmiḍen֎֎ abderdi/iberdi, iberdan֎֎ aberduz, iberdaz֎֎ ahṛṛuḍ, ihṛṛuḍen֎֎ aceddad, iceddaden֎֎ adɣaz, idɣazen֎֎ ajway, ijwayen֎֎ taɣzuzt֎֎ tadɣart, tidɣarin֎֎ tiberdit, tiberdatin֎֎ asammes, isumas֎֎ aḥzuz, iḥzuzen֎֎ 40"
2055,dustman,"bu-warras, id bu-warras"
2056,dusty,iguḍeṛn
2057,duty-free,iffeɣ teẓeṭṭat
2058,duty doctor,"amsifer, imsiferen ɣ tewwuri"
2059,dwarf,"1. An abnormally small person. Agzzaylu, igzzuyla"
2060,dwarf palm,"iẓniṛ, iẓniṛen"
2061,dwarfism,"mẓẓi, id mẓẓi"
2062,dwell,zdeɣ
2063,dweller,"amzdaɣ, imzdaɣen"
2064,dwelling,"tigemmi, tigʷmma"
2065,dyke,"aṛḍaḍ, aṛḍaḍen"
2066,dysentery,"tammunḍi, timmunḍiwin"
2067,eager,izbbiyn
2068,eagle,"igidr, igadren"
2069,ear,"2.The organ of hearing. Amzzuɣ, imzzaɣ/imzgan"
2070,ear ring,"taxʷrestt, tixʷresin"
2071,earache,"aṭṭan, aṭṭanen n imzzaɣ/imzgan"
2072,earless,aguri
2073,earlobe,"takuṛṛit, tikuṛṛitin n umzzuɣ"
2074,earmark,"tibṛiṭt, tibṛiṭin"
2075,earn,"1.If you earn money, you get it in return for work that you do. Sker"
2076,earring,"taxʷrest, tixʷrsin"
2077,earth,"1.The Earth is the planet on which we live. Akal, ikaliwen"
2078,earthenware,"faruz, id faruz"
2079,earthenware jar,"aɣʷrraf, iɣʷrrafen"
2080,earthquake,"amdudi, imdudiyen n wakal֎֎ andudi, indudiyen n wakal֎֎ asmdudi, ismdudiyen n wakal֎֎ targagayt, tirgagayin n 08 wakal֎֎ iggig, aggagen n wakal֎֎ ammuss, immussen n wakal֎֎ wargiga, id wargiga n wakal֎֎"
2081,earwax,"tilqqi, tilqqa n umzzuɣ"
2082,earwig,"Musa, id Musa n tuzlin"
2083,easel,"taɣyult, tiɣʷyal"
2084,easily,1.Without difficulty. Zund aman
2085,Easter,"tafsut, tifsutin"
2086,eastern,n iming/uɣlluy/usammer/unammer
2087,easy chair,"asamu, isuma"
2088,eat,"1.When you eat food, you chew it and swallow it. Ecc"
2089,eat up,durdu
2090,eatable,ar ittutca
2091,ebony,"asbu, isbuten"
2092,eccentric,ur igan zund medden
2093,ecological,n ikulujya
2094,economic,n teḍmeṣa
2095,economical,yumeẓn afus (mad. argaz yumeẓn afus nnnes)֎֎ yusin tiɣit/anzgum
2096,economics,tussena/tawssena n teḍmeṣa
2097,economize on,ajj
2098,eczema,"tafuri, tifuriwin"
2099,edge,"1.The edge of something is a border or line where it ends or meets something else. Tama, tamwin"
2100,edible,iga mad ittutecan
2101,edification,allal
2102,edify,ssɣli/ssɣʷli
2103,edit,"1.If you edit a piece of writing, you connect it so that is suitable for publication. Gadda"
2104,editing,"taguri, tiguriwin"
2105,edition,"1.An edition of a book or magazine is a particular version of it that is printed at one time. Ufuɣ, ufuɣen"
2106,editor,"13 1.A person who is in charge of a newspaper or magazine. Amsgaddi, imsgaddiyen n tirra"
2107,educate,"1.When someone is educated, they are taught at a school or college. Ɣer"
2108,education,"almmud, ilmmuden"
2109,eel,"tazlmett, tizlemin"
2110,effect,"1.A change or reaction that is caused by something or that is the result of something. Taḍfuṛi, tiḍfuṛiwin"
2111,effective,iṛwan
2112,efficient,iqqenn aɣjjaj
2113,effort,1.Effort is the physical or mental energy that is needed to do something. Tuggʷas
2114,egg,"taglayt, tiglay"
2115,egg timer,"tanast, tanasin"
2116,egg white,"ba-mllul, id ba-mllul"
2117,egg yolk,"bawjj, id bawjj"
2118,eggplant,"biṭlýan, id biṭlýan"
2119,Egypt,Miṣṛ/Miṣṛa֎֎ tamazirt n Miṣṛ/Miṣṛa֎֎ Egyptian:  (adj.) 1.Belonging or relating to Egypt. N Miṣṛ
2120,eight,"a.mas.: ttam , id ttam"
2121,eighteen,"a.mas.: ttam-d-mraw, id ttam-d-mraw"
2122,eighteenth,a.mas.: wiss ttam-d-mraw
2123,eightieth,a.mas.: wiss ttam-n-imrawen
2124,eigthy,ttam-n-imrawen
2125,ejaculate,ffi-nn
2126,elbow,"tiɣʷmert, tiɣʷmerin n ufus"
2127,elder,mqqurn
2128,elder sister,"lalla, id lalla"
2129,elder tree,"timrmnna, timrmnniwin"
2130,elderly,yussern
2131,eldest,akkʷmqqurn/imqqurn
2132,elect,all
2133,election,"astay, istayen"
2134,electric,n ttrisinti
2135,electrical,n ttrisinti
2136,electrician,"bu-ttrisinti, id bu- ttrisinti֎֎ bab n ttrisinti, id bab n ttrisinti֎֎"
2137,electricity,ttrisinti֎֎ tifawt֎֎ tismi֎֎ tismt֎֎
2138,electronic,iliktrunik
2139,elegant,iḥiyyeln
2140,element,"taøawsa, tiøawsiwin"
2141,elemental,izwarn
2142,elementary,izwarn
2143,elephant,"ilu, iluten"
2144,elevator,iskʷfal
2145,eleven,yan-d-mraw֎֎
2146,eleventh,a. mas.: wiss yan-d-mraw (wiss yan-d- mraw ad iga.)֎֎ 41 b.fem.: tiss yat-d-mraw (tiss yat-d-mraw ad tega)֎֎
2147,eligible,igan i
2148,eliminate,"1.If you eliminate something or someone, you remove them completely. Kkes"
2149,ell,"tizɣet, tizaɣ"
2150,else,1.‘Else’ maens other that the thing you are talking about or more than the thing you are talking about. Yaḍn
2151,elsewhere,kra n mani/mmel yaḍn/yaḍnin
2152,emasculate,ẓṛbeḥ
2153,emasculation,"aẓṛbeḥ, iẓṛbeḥen"
2154,embankment,"aṛḍaḍ, aṛḍaḍen"
2155,embark,sni
2156,embarrass,snnkumu
2157,embarrassed,innukman
2158,embarrassment,"annukmu, innukmuten"
2159,embassy,"tanafuḍt, tinafuḍin"
2160,embed,qqim
2161,ember,"asafu, isufa"
2162,embezzle,akʷer idrimen
2163,embroider,klu/kʷlu
2164,embroiderer,"bu-teḍṛeṣa/talma, id bu-teḍṛeṣa/talma"
2165,embroidery,"taḍṛeṣa, tidṛeṣiwin"
2166,emend,sgadda
2167,emerge,"1.If someone emerges from a place, they come out of it so that they can be seen. Aggʷ-d"
2168,emergence,"ufuɣ, ufuɣen"
2169,emergency,"tamḥuṛṛut, timḥuṛṛutin"
2170,emergency service,ayt telila
2171,eminence,"1.A piece of rising ground. Tawrirt, tiwririn"
2172,eminent,mqqurn
2173,emissary,"arqqas, irqqasen"
2174,emotion,"aɣʷni, iɣʷniyen"
2175,emotional,1.Relating to feeling and emotions. N uɣʷni
2176,emphasis,"assimɣur, issimɣuren"
2177,emphasize,ssimɣur
2178,empire,"tambraturt, timbraturin"
2179,employ,"1.If you employ someone, you pay them to work for you. Swwuri"
2180,employee,"amwwuri, imwwuriyen"
2181,employer,"amswwuri, imswwuriyen"
2182,employment,"aswwuri, iswwuriyen"
2183,emptiness,"axwu, ixwuten"
2184,emulator,"anggʷu, inggʷa"
2185,enable,awes
2186,enchant,1.Fill (someone) with great delight; charm. Ssusem
2187,encircle,ssutel
2188,enclosure,"agʷdal, igʷdalen"
2189,encourage,ssiwes
2190,encouragement,"assiwes, issiwesen/issiwisen"
2191,encroach up,href
2192,endeavour,Mmaɣ
2193,ending,"ttemi, id ttemi"
2194,endless,war ttemi
2195,endure,ẓẓiḍeṛ
2196,enemy,"aɣni, iɣnan"
2197,energetic,idusn
2198,energy,"tadusi, tidusiwin"
2199,engage,kcem
2200,engagement,"1.An appointment that you have with someone. Anmuqqar, inmuqqaren"
2201,engine,"imiss, imassen"
2202,engrave,kker
2203,engraver,"amkkar, imkkaren"
2204,enjoy,"1.If you enjoy something, it gives you pleasure. Ssrceqq"
2205,enjoyable,issrcaqqn
2206,enlarge,ssimɣur
2207,enlargement,"assimɣur, issimɣuren"
2208,enormous,imqqurn
2209,enquire,saqqsa
2210,enquiry,"28 1.A question that you ask in order to get information. Aseqqsi, iseqqsiyen"
2211,enraged,izɛfn
2212,enslave,eg d ismeg
2213,enslavement,"assismig, issmigen"
2214,ensure,bedd/bidd
2215,entangle,nxabbal
2216,enter,"1.When you enter a place, you go into it. Kcem"
2217,entrepreneur,"amwel, imwelen"
2218,enterprise,"tawelt, tiwelin"
2219,entertain,"1.If you entertain people, you do something that amuses or interests them. ssrceqq"
2220,entertainment,"assrceqq, issrceqqen"
2221,enthusiasm,"tukksi, tukksiwin"
2222,enthusiastic,ireɣan
2223,entire,akkʷ
2224,entirely,akkʷ
2225,entitle,"43 1.If you are entitled to do something, you have the right to have it or to do it. Ili azref/taɣamt"
2226,entrail,ilawan
2227,entrance,"1.The entrance of a building or area is its doorway or gate. Imi, imawwen"
2228,entreaty,"taḥẓẓaṛt, tiḥẓẓaṛin"
2229,entry,"30 1.Entry is the act of entering a place. Akccum, ikccumen"
2230,enumerate,bder yan s yan
2231,enumeration,"tawala, tiwaliwin"
2232,envelop,mmuttel
2233,envelope,"jjwa, id jjwa"
2234,environment,"1.Your environnement is your surronding, especially the conditions in which you live or work. Mmel, id mmel"
2235,environmental,n teɣara/berra/umnad/tewnnaḍt…
2236,envious,yusin taɣnnant/taɛunkrit/tasmin/aẓllug
2237,envoy,"arqqas, irqqasen"
2238,epidemic,"tamḍunt, timuḍan itteyisiyen/itteøummen"
2239,epilepsy,"tamaymunt, timaymunin"
2240,epileptic fit,"tamaḍunt, timuḍan n temaymunt"
2241,episode,"1.An event or period of time, especially one that is important or unusual. Azruy, izruyen"
2242,epoch,"tiwwt, tiwwtin"
2243,equalize,gadda/giddi
2244,equastrain display,"azreg, izregan"
2245,equip,eg
2246,equipment,"imiss, imissen"
2247,equitation,"tanaka, tinakiwin"
2248,equivalent,igan tagadda
2249,era,"tiwwt, tiwwtin"
2250,eradicate,mḥeḍ
2251,eradication,"amḥeḍ, imḥeḍen"
2252,erase,ssfeḍ
2253,eraser,"tassffeḍt, tissffeḍin"
2254,erection,"assnker, issnkeren"
2255,ergot fungus,"amgnun, imgnunen"
2256,erodium,iḍaṛṛen n temucca
2257,erotic,igan asfsawi
2258,error,"tazgelt, tizgal"
2259,erupt,"1.When a volcano erupts, it throws out a lot of hot rock and ash. Nṣeḍ-d"
2260,escalator,iskʷfal
2261,escapee,"amrur, imruren"
2262,escort,mun
2263,esparto grass,"talamt, talamin"
2264,especially,slawattinn
2265,espionage,"asfuru, isfuruten"
2266,essay,"aram, iramen"
2267,essential,1.Something that is essential is absolutely necessary. Ittumnidn
2268,establish,"1.If someone establishes an organization or system, they create it. Sker"
2269,establishment,"1.The establishment of an organization or system is the of setting it up. Askkir, iskkiren"
2270,estate,1.A large area of land in the country that is owned by one person or organization. Ayda
2271,estate agent,"asbbab, isbbaben ɣ igʷmma"
2272,eternal,igan war ttemi
2273,eternity,"tizugʷzi, tizugʷziwin"
2274,ethical,n ithiken/uthik/tathikt
2275,ethics,ithiken
2276,ethnic,n tithnit
2277,ethny,"tithnit, tithnitin"
2278,euphorbia,"tikiwt, tikiwin"
2279,euro,"euro, id euro"
2280,Europe,Euṛubba/Euṛuppa
2281,European barberry,"aɣzzur, iɣzzuren"
2282,evacuate,"1.If someone is evacuated, they are removed from a place of danger to a place of safety. Smatti"
2283,evaporate,eg iraggʷen
2284,eve,nnif n wass-ann
2285,evasion,"tarula, tiruliwin"
2286,evasive,itteruran
2287,evening,"1.The period of time at the end of the day, usually from about 6 p.m. to bedtime. Tazzwit, tizzwitin"
2288,evening dress,"aqqccab, iqqccaben n iḍ"
2289,event,"1.Something that happens especially when it is unusual or important. Azruy, izruyen"
2290,eventually,ɣ tegira/issggʷra
2291,ever,1.At any time. Jju
2292,every,1.You use ‘every’ to refer to all the members of a group or all the parts of something. Kra iga tt
2293,everywhere,kra iga tt mani
2294,eviction,"asufeɣ/asffeɣ, isufɣen/asffeɣen"
2295,evidence,"1.Evidence is anything that causes you to believe that something is true or exists. Tamatert, timitar/timatarin"
2296,evident,ifleln
2297,evil,"gar, id gar"
2298,evil eye,"aẓllug, iẓllugen"
2299,evocation,"abdar, ibdaren"
2300,evoke,bder
2301,ewe,"taɣla, taɣliwin/tiɣlewin"
2302,ex-husband,"argaz izwarn, irgazen izwaren"
2303,ex-wife,"tamɣart izwarn, timɣarin izwaren"
2304,exact,1.Correct and complete in every detail. D-yuckan
2305,exactly,"1.Exactly means precisely, and not just approximately. Nit"
2306,exaggerate,ssugʷt
2307,exam,"assḥsu, issḥsuten"
2308,examination,"44 1.Exam. Assḥsu, issḥsuten"
2309,examine,zri
2310,example,"1.Something which represents or is typical of a particular group of things. Amdya, imdyaten"
2311,excavate,42 1.Make (a hole or channel) by digging. Ɣez
2312,excavation,"taɣuzi, tiɣuziwin"
2313,exceed,ekk f
2314,excellent,ifulkin bahra
2315,except,ɣar
2316,exception,"aslid, isliden"
2317,exceptional,1.Exteremely clever or skilful. Waz
2318,excess,1.More than is needed or allowed. Iggutn
2319,excessive,iggutn
2320,excite,ssumer
2321,excitement,"tumert, tumerin"
2322,exclaim,ini ah/ayy
2323,exclamation,"abrraḥ, ibrraḥen"
2324,exclamation mark,anza/tamatert n uhum/tayyayt/ubrraḥ/utaram
2325,exclude,"1.If you exclude something, you choose not to include or consider it. Ssinef/ssanef"
2326,exclusion,"asufeɣ/asffeɣ, isufɣen/asffeɣen"
2327,exclusive,1.Available only to people who are rich or important. I yan mennaw
2328,excrement,"axʷsas, ixʷsisen"
2329,excursion,"amuddu, imudduten"
2330,execute,"1.If someone is executed, they are killed as a punishment for a crime. Nɣ"
2331,executioner,"amnaɣ, imnaɣen"
2332,executive,"amsggar, imsggaren֎֎ amasay, imasayen֎֎ amɣar, imɣaren֎֎ asmɣur, ismɣuren֎֎ anmɣur, inmɣuren֎֎ akaḍeṛ, ikaḍeṛen֎֎ exercise:  (n.) 1.Exercice is any acticity which you do in order to get fit or remain healty. Tunnunt, tunnin"
2333,exhausted,iṛmin
2334,exhibition,"asmal, ismalen֎֎ ammal, ammalen֎֎ askan, iskanen֎֎ asisken, isiskenen֎֎ asufeɣ, isufeɣen֎֎ taṭṭayt, taṭṭayin֎֎ asfser, isfseren֎֎ asbser, isbseren֎֎ afsar, ifsaren֎֎ absar, ibsaren֎֎ exile:  (n.) 1.The state of being barred from one's native country, typically for political or punitive reasons. Azwag, izwagen"
2335,exiled,izugn
2336,exist,ili
2337,existence,"1.The existence of something is the fact that it is present in the world as a real thing. Tudert, tuderin"
2338,exit,"44 1.A doorway through which you can leave a public place. Imi, imawwen"
2339,exorcize,ssifeḍ
2340,exorcizing,"asifeḍ, isifiḍen"
2341,expand,mɣer
2342,expansion,"tamɣuri, timɣuriwin"
2343,expect,"1.If you expect something to happen, you believe that it will happen. Qqel"
2344,expectation,"tuqqela, tuqqeliwin"
2345,expel,ḥuwwez
2346,expensive,ur ilan atig
2347,experienced,f zrint
2348,expert,"awzzan/awssan, iwzzanen/iwssanen"
2349,expire,zri
2350,explain,frez
2351,explanation,"afraz, ifrazen֎֎ assisfiw, issisfiwen֎֎ afru, ifruten֎֎ asfru, isfruten֎֎ asfinneɣ, isfinneɣen֎֎ azzray, izzrayen֎֎ azzugʷez, izzuguzen֎֎"
2352,explode,ttaqqi
2353,exploit,"tarnnawt, tirnnawin"
2354,explore,cabba
2355,explosion,"asberbaqqay, isberbaqqayen֎֎ abbaqqay, ibaqqayen֎֎ asbaqqay, isbaqqayen֎֎ adadday, idaddayen֎֎ asdadday, isdaddayen֎֎ abukku, ibukkuten֎֎ asbukku, isbukkuten֎֎ export:  (v.) 1.To export goods means to sell them to another country. Zzenz-nn ɣ beṛṛa"
2356,expose,1.To expose something means to uncover it and make it visible. Zzef
2357,expression,"1.The expression of ideas or feelings is the act of showing them through words, actions, or art. Ammal, ammalen, amal, amalen"
2358,expulsion,"asufeɣ, isufɣen"
2359,extend,"1.If something extends for a particular distance or time, it continues for that distance or time. Ddu"
2360,extension,"assimɣur, issimɣuren"
2361,extent,"tamɣuri, tiɣmuriwin֎֎ asɣrred, isɣrreden֎֎ aɣrred, iɣrreden֎֎ tuddut, tuddutin֎֎ taytti, tayttiwin֎֎ taguri, tiguriwin֎֎ tiɣzi, tiɣziwin֎֎ tiɣzi d turrut, tiɣziwin d turrutin...֎֎"
2362,external,abeṛṛan
2363,extinct,ssnes
2364,extinction,"axsay, ixsayen"
2365,extinguish,ssnes
2366,extinguishment,"Assxsay, issxsayen"
2367,extract,kkes-d
2368,extraordinary,isnufuln/issxlawn
2369,extraterrestrial,n beṛṛa n wakal
2370,extremely,bahra/ḥawla
2371,extremity,"1.The furthest point or limit of something. Ttemi, id ttemi"
2372,extroverted,isaweln
2373,eye,"1.Each of a pair of globular organs in the head through which people and vertebrate animals see. Tiṭṭt, allen"
2374,eye socket,"aɣʷlil, iɣʷlilen n tiṭṭt/wallen"
2375,eye specialist,"awzzan, iwzzanen n wallen"
2376,eyebrow,"timiwtt, timiwa"
2377,eyebrow pencil,"asɣar, asɣaren n taẓult"
2378,eyelash,"taṣeṭṭat, tiṣeṭewin n wallen"
2379,eyelid,"irgel, argliwen n wallen"
2380,eyesight,iẓeṛi
